date,price_new,price_2nd
2016-6-18,599.98,
2016-6-22,599.99,
2016-6-26,519.0,
2016-6-30,492.43,
2016-7-4,519.74,
2016-7-7,429.0,494.49
2016-7-11,505.99,499.49
2016-7-15,429.0,479.49
2016-7-19,458.95,449.49
2016-7-23,451.99,434.59
2016-7-26,469.95,434.59
2016-7-30,457.95,392.86
2016-8-3,429.0,392.86
2016-8-7,426.99,392.86
2016-8-11,426.99,392.86
2016-8-15,424.01,392.86
2016-8-18,434.95,396.82
2016-8-22,458.95,396.82
2016-8-26,429.0,396.82
2016-8-30,429.0,396.82
2016-9-3,429.0,396.82
2016-9-6,429.0,375.38
2016-9-10,429.0,396.82
2016-9-14,429.0,396.82
2016-9-18,429.0,396.82
2016-9-22,429.0,396.82
2016-9-25,429.0,375.38
2016-9-29,416.0,396.82
2016-10-3,420.0,409.99
2016-10-7,400.0,379.24
2016-10-11,401.0,379.24
2016-10-14,409.99,358.74
2016-10-18,429.0,385.99
2016-10-22,429.0,375.38
2016-10-26,429.0,375.38
2016-10-30,429.0,375.38
2016-11-2,409.99,375.38
2016-11-6,409.99,379.24
2016-11-10,409.99,379.24
2016-11-14,409.99,379.24
2016-11-18,409.01,379.24
2016-11-21,409.01,379.24
2016-11-25,399.99,369.99
2016-11-29,399.99,349.99
2016-12-3,441.23,339.95
2016-12-7,419.99,388.49
2016-12-11,399.99,349.99
2016-12-14,479.99,377.36
2016-12-18,399.99,369.99
2016-12-22,399.99,378.0
2016-12-26,399.99,369.99
2016-12-30,399.99,369.99
2017-1-2,399.99,369.99
2017-1-6,399.99,369.99
2017-1-10,399.99,369.99
2017-1-14,399.99,369.99
2017-1-18,399.99,369.99
2017-1-21,399.99,369.99
2017-1-25,399.99,349.99
2017-1-29,399.99,369.99
2017-2-2,399.99,349.99
2017-2-6,394.99,365.37
2017-2-9,394.9,365.37
2017-2-13,394.99,365.37
2017-2-17,394.99,345.62
2017-2-21,404.99,346.23
2017-2-25,399.0,379.24
2017-2-28,409.99,379.24
2017-3-4,414.99,372.0
2017-3-8,409.99,368.0
2017-3-12,404.99,349.0
2017-3-16,403.99,352.47
2017-3-20,403.97,345.62
2017-3-23,401.04,365.15
2017-3-27,401.01,370.93
2017-3-31,400.98,370.92
2017-4-4,400.96,370.89
2017-4-8,399.99,369.99
2017-4-11,399.97,369.97
2017-4-15,399.95,369.95
2017-4-19,399.94,369.95
2017-4-23,394.99,359.5
2017-4-27,389.95,341.21
2017-4-30,381.76,353.13
2017-5-4,350.69,324.39
2017-5-8,429.95,328.46
2017-5-12,440.04,358.26
2017-5-16,440.03,375.0
