date,price_new,price_2nd
2019-8-8,889.99,
2019-8-10,889.42,
2019-8-12,889.0,
2019-8-13,789.99,
2019-8-15,789.99,
2019-8-17,789.0,
2019-8-19,789.0,
2019-8-20,829.99,
2019-8-22,799.99,
2019-8-24,799.99,
2019-8-26,829.99,
2019-8-27,799.99,
2019-8-29,829.99,
2019-8-31,829.99,
2019-9-1,829.99,
2019-9-3,829.99,
2019-9-5,869.99,
2019-9-7,839.42,799.99
2019-9-8,869.99,799.99
2019-9-10,829.95,849.99
2019-9-12,885.99,849.99
2019-9-14,879.98,799.99
2019-9-15,879.98,789.99
2019-9-17,879.98,799.99
2019-9-19,878.95,799.99
2019-9-21,878.95,799.99
2019-9-22,878.95,799.99
2019-9-24,878.95,799.99
2019-9-26,878.95,799.99
2019-9-28,878.95,799.99
2019-9-29,877.74,799.99
2019-10-1,877.74,789.99
2019-10-3,877.74,789.99
2019-10-4,877.74,789.99
2019-10-6,872.0,
2019-10-8,983.0,
2019-10-10,942.0,
2019-10-11,925.0,
2019-10-13,925.0,
2019-10-15,910.0,
2019-10-17,899.0,
2019-10-18,879.0,
2019-10-20,859.0,
2019-10-22,839.0,
2019-10-24,819.0,
2019-10-25,819.0,
2019-10-27,819.0,
2019-10-29,819.0,
2019-10-30,819.0,
2019-11-1,829.0,
2019-11-3,859.99,
2019-11-5,859.98,
2019-11-6,858.99,
2019-11-8,849.0,
2019-11-10,848.0,
2019-11-12,847.79,
2019-11-13,846.99,
2019-11-15,858.0,
2019-11-17,940.0,
2019-11-19,915.0,
2019-11-20,915.0,
2019-11-22,905.0,
2019-11-24,897.5,
2019-11-25,888.0,
2019-11-27,899.99,
2019-11-29,899.99,
2019-12-1,899.0,
2019-12-2,889.0,
2019-12-4,878.95,
2019-12-6,869.0,
2019-12-8,869.0,
2019-12-9,867.9,
2019-12-11,850.0,
2019-12-13,850.0,
2019-12-15,849.99,749.42
2019-12-16,850.0,749.42
2019-12-18,850.0,749.42
2019-12-20,854.99,748.42
2019-12-21,854.99,748.42
2019-12-23,854.0,
2019-12-25,849.98,
2019-12-27,846.0,764.42
2019-12-28,849.97,764.42
2019-12-30,849.98,764.42
2020-1-1,849.97,764.42
2020-1-3,849.97,764.42
2020-1-4,849.97,
2020-1-6,849.99,
2020-1-8,849.98,
2020-1-10,845.0,
2020-1-11,838.0,
2020-1-13,831.35,
2020-1-15,799.0,
2020-1-17,815.98,
2020-1-18,812.0,
