date,price_new,price_2nd
2021-1-15,298.99,299.66
2021-1-16,270.0,299.66
2021-1-17,295.97,299.66
2021-1-19,299.98,299.66
2021-1-20,299.98,234.99
2021-1-21,299.96,299.66
2021-1-22,299.96,299.66
2021-1-23,299.98,299.66
2021-1-25,299.98,299.66
2021-1-26,299.98,299.66
2021-1-27,299.98,299.66
2021-1-28,349.58,299.66
2021-1-29,349.58,349.66
2021-1-31,349.54,349.66
2021-2-1,349.56,349.66
2021-2-2,349.54,349.66
2021-2-3,348.9,384.63
2021-2-5,348.9,384.63
2021-2-6,348.88,
2021-2-7,344.97,
2021-2-8,339.97,
2021-2-9,348.88,
2021-2-11,348.88,
2021-2-12,348.88,349.88
2021-2-13,349.58,349.88
2021-2-14,375.99,349.88
2021-2-16,389.95,349.88
2021-2-17,390.0,349.88
2021-2-18,395.0,
2021-2-19,395.0,
2021-2-20,389.99,
2021-2-22,379.99,429.88
2021-2-23,399.0,429.88
2021-2-24,375.99,429.88
2021-2-25,375.99,429.88
2021-2-27,375.99,399.66
2021-2-28,375.99,399.66
2021-3-1,375.99,399.66
2021-3-2,375.99,399.66
2021-3-3,375.99,399.66
2021-3-5,375.99,399.66
2021-3-6,375.99,399.66
2021-3-7,375.99,399.66
2021-3-8,375.99,399.66
2021-3-10,375.99,399.66
2021-3-11,375.99,399.66
2021-3-12,375.99,399.66
2021-3-13,375.99,399.66
2021-3-14,599.99,399.66
2021-3-16,599.99,399.66
2021-3-17,599.99,399.66
2021-3-18,699.99,399.66
2021-3-19,375.99,
2021-3-21,375.99,
2021-3-22,375.99,
2021-3-23,375.99,
2021-3-24,375.99,
2021-3-25,375.99,
2021-3-27,,
2021-3-27,,
2021-3-28,,
2021-3-29,,
2021-3-30,,
2021-4-1,399.0,
2021-4-2,399.0,
2021-4-3,399.0,
2021-4-4,,
2021-4-5,,
2021-4-7,,
2021-4-8,,500.0
2021-4-9,,500.0
2021-4-10,,500.0
2021-4-12,499.99,500.0
2021-4-13,499.99,450.0
2021-4-14,499.99,450.0
2021-4-15,499.99,450.0
2021-4-16,499.99,435.0
2021-4-18,499.99,435.0
2021-4-19,499.99,435.0
2021-4-20,499.99,435.0
2021-4-21,499.99,
2021-4-23,499.99,
2021-4-24,499.99,
2021-4-25,499.99,
2021-4-26,499.99,
2021-4-27,499.99,
2021-4-29,499.99,
2021-4-30,499.99,499.99
2021-5-1,499.99,499.99
2021-5-2,499.99,499.99
2021-5-4,499.95,499.99
2021-5-5,491.27,435.0
2021-5-6,491.27,435.0
2021-5-7,491.27,419.0
2021-5-8,491.27,418.0
2021-5-10,399.0,418.0
2021-5-11,398.8,399.99
2021-5-12,398.8,399.99
2021-5-13,491.27,418.0
2021-5-14,491.27,499.99
2021-5-16,491.27,499.99
2021-5-17,489.99,499.99
2021-5-18,489.99,499.99
2021-5-19,474.0,499.99
2021-5-21,474.0,499.99
2021-5-22,473.0,499.99
2021-5-23,472.66,499.99
2021-5-24,469.0,499.99
2021-5-25,468.0,499.99
2021-5-27,468.0,499.99
2021-5-28,468.0,499.99
2021-5-29,457.99,499.99
2021-5-30,449.0,499.99
2021-6-1,448.99,499.99
2021-6-2,438.0,400.0
2021-6-3,415.0,394.0
2021-6-4,397.01,394.0
2021-6-5,382.63,394.0
2021-6-7,374.66,394.0
2021-6-8,387.05,394.0
2021-6-9,368.68,393.99
2021-6-10,381.07,393.99
2021-6-12,366.65,393.99
2021-6-13,367.3,369.14
2021-6-14,368.0,369.14
2021-6-15,368.0,369.14
2021-6-16,365.0,369.14
2021-6-18,362.0,364.99
2021-6-19,359.99,364.99
2021-6-20,359.0,364.99
2021-6-21,359.0,364.99
2021-6-23,358.0,364.99
2021-6-24,357.99,357.99
2021-6-25,351.45,357.99
2021-6-26,348.25,348.24
2021-6-27,350.0,348.24
2021-6-29,349.97,348.24
2021-6-30,349.93,330.0
2021-7-1,345.99,330.0
2021-7-2,348.0,330.0
2021-7-4,348.0,330.0
2021-7-5,314.99,330.0
2021-7-6,314.99,330.0
2021-7-7,314.99,330.0
2021-7-8,314.99,330.0
2021-7-10,314.99,330.0
2021-7-11,314.99,330.0
2021-7-12,299.99,330.0
2021-7-13,298.88,330.0
2021-7-15,299.99,330.0
2021-7-16,299.99,329.63
2021-7-17,299.99,329.63
2021-7-18,298.0,364.0
2021-7-19,298.0,364.0
2021-7-21,299.99,364.0
2021-7-22,314.99,329.63
2021-7-23,299.99,326.63
2021-7-24,299.99,326.63
2021-7-26,299.99,326.63
2021-7-27,299.99,323.63
2021-7-28,299.99,326.63
2021-7-29,299.99,326.63
2021-7-30,299.99,323.63
2021-8-1,299.99,320.64
2021-8-2,299.99,323.63
2021-8-3,299.99,320.64
2021-8-4,299.99,320.64
2021-8-6,299.99,320.64
2021-8-7,299.99,320.64
2021-8-8,299.99,323.63
