date,price_new,price_2nd
2021-9-15,777.67,789.0
2021-9-16,788.99,789.0
2021-9-16,785.0,789.0
2021-9-17,785.0,789.0
2021-9-18,784.0,789.0
2021-9-18,784.0,789.0
2021-9-19,749.99,789.0
2021-9-20,749.99,789.0
2021-9-20,749.99,789.0
2021-9-21,749.99,789.0
2021-9-22,749.99,789.0
2021-9-22,749.99,789.0
2021-9-23,759.99,789.0
2021-9-24,759.99,789.0
2021-9-25,735.28,789.0
2021-9-25,759.99,789.0
2021-9-26,759.99,789.0
2021-9-27,759.99,789.0
2021-9-27,759.99,789.0
2021-9-28,759.99,789.0
2021-9-29,759.99,789.0
2021-9-29,759.99,769.99
2021-9-30,769.0,789.0
2021-10-1,769.0,789.0
2021-10-1,759.99,789.0
2021-10-2,799.0,789.0
2021-10-3,754.0,789.0
2021-10-3,749.99,
2021-10-4,747.0,789.0
2021-10-5,745.0,789.0
2021-10-6,745.0,789.0
2021-10-6,744.95,789.0
2021-10-7,737.91,789.0
2021-10-8,743.88,789.0
2021-10-8,739.96,789.0
2021-10-9,734.96,789.0
2021-10-10,734.96,789.0
2021-10-10,736.96,789.0
2021-10-11,709.67,789.0
2021-10-12,739.95,789.0
2021-10-12,739.95,789.0
2021-10-13,737.99,789.0
2021-10-14,737.98,789.0
2021-10-14,737.99,789.0
2021-10-15,737.95,789.0
2021-10-16,737.99,789.0
2021-10-17,737.99,789.0
2021-10-17,737.99,789.0
2021-10-18,737.99,789.0
2021-10-19,737.99,789.0
2021-10-19,739.94,789.0
2021-10-20,739.94,789.0
2021-10-21,739.95,789.0
2021-10-21,739.95,789.0
2021-10-22,739.95,789.0
2021-10-23,737.99,789.0
2021-10-23,734.98,789.0
2021-10-24,739.95,789.0
2021-10-25,739.95,789.0
2021-10-25,756.88,789.0
2021-10-26,788.87,789.0
2021-10-27,799.0,769.99
2021-10-27,799.0,769.99
2021-10-28,799.0,769.99
2021-10-29,737.99,769.99
2021-10-30,799.0,769.99
2021-10-30,799.0,769.99
2021-10-31,799.0,789.0
2021-11-1,799.0,789.0
2021-11-1,776.32,789.0
2021-11-2,799.0,789.0
2021-11-3,799.0,789.0
2021-11-3,847.33,789.0
2021-11-4,845.35,863.63
2021-11-5,845.29,815.65
2021-11-5,827.35,815.65
2021-11-6,845.28,815.65
2021-11-7,845.28,815.65
2021-11-7,845.28,823.65
2021-11-8,845.28,823.65
2021-11-9,869.97,847.64
2021-11-10,899.99,847.64
2021-11-10,899.99,847.64
2021-11-11,879.0,847.64
2021-11-12,879.0,855.64
2021-11-12,879.0,855.64
2021-11-13,879.0,855.64
2021-11-14,899.99,855.64
2021-11-14,919.0,863.63
2021-11-15,919.99,871.63
2021-11-16,896.31,871.63
2021-11-16,934.0,871.63
2021-11-17,934.0,1055.56
2021-11-18,899.99,
2021-11-18,949.99,
2021-11-19,1400.0,
2021-11-20,998.99,
2021-11-21,998.88,
2021-11-21,997.99,
2021-11-22,989.98,
2021-11-23,988.99,
2021-11-23,988.89,
2021-11-24,988.89,
2021-11-25,959.0,
2021-11-25,949.99,
2021-11-26,949.99,
2021-11-27,949.99,
